Continent,Product,Revenue
South America,Product C,719.1
Asia,Product C,833.56
South America,Product A,468.49
Australia,Product A,873.52
South America,Product A,543.55
Europe,Product A,941.46
Australia,Product B,1277.05
Africa,Product B,534.5
Asia,Product C,789
South America,Product B,412.86
Europe,Product B,752.55
Africa,Product B,340.3
Africa,Product A,647.34
Asia,Product C,377.96
South America,Product A,619.49
Asia,Product C,905.95
South America,Product B,546.43
Europe,Product B,735.99
South America,Product A,453.51
Australia,Product B,1066.09
Australia,Product B,811.03
Europe,Product B,965.04
Australia,Product B,1294.17
North America,Product B,597.85
Asia,Product C,619.5
Asia,Product C,966.14
North America,Product A,1014.7
Australia,Product C,1163.94
Europe,Product C,410.89
Europe,Product B,769.21
Africa,Product A,616.2
South America,Product A,264.69
Africa,Product B,516.43
Australia,Product B,952.74
Asia,Product B,782.65
Africa,Product A,428.91
South America,Product A,376.22
South America,Product A,610.45
Australia,Product B,1181.06
South America,Product B,523.1
Asia,Product B,525.48
North America,Product B,789.08
North America,Product C,1091.15
Australia,Product B,550.74
North America,Product B,882.54
Africa,Product C,399.89
Europe,Product B,809.94
South America,Product B,312.55
Africa,Product A,574.51
South America,Product A,602.46
South America,Product B,561.61
Europe,Product C,686.02
Asia,Product C,921.12
North America,Product B,1180.58
Asia,Product C,768.15
Europe,Product B,740.88
Asia,Product B,933.33
North America,Product A,743.96
South America,Product A,402.07
Asia,Product C,529.57
Asia,Product C,886.74
Africa,Product C,556.91
Australia,Product A,1133.99
North America,Product B,998.59
South America,Product A,490.38
Africa,Product A,514.46
Asia,Product C,994.36
North America,Product B,760.57
Africa,Product A,580.9
Asia,Product B,414.94
South America,Product A,510.74
Europe,Product B,866.71
Africa,Product A,418.9
Africa,Product A,664.23
Australia,Product C,642.85
Africa,Product A,468.07
Australia,Product B,1214.2
South America,Product C,464.62
South America,Product A,483.92
Europe,Product A,648.57
North America,Product A,1388.46
North America,Product A,1149.24
Asia,Product B,626.42
South America,Product A,599.16
North America,Product A,674.22
Africa,Product A,613.31
Australia,Product B,1365.17
North America,Product B,895.38
Asia,Product C,732.85
South America,Product B,521.11
Africa,Product A,471.8
Asia,Product C,1092.07
Australia,Product B,843.36
Africa,Product A,399.28
Australia,Product A,959.38
South America,Product A,256.64
Asia,Product C,805.81
North America,Product B,983.53
South America,Product B,526.36
Europe,Product B,524.8
Europe,Product B,395.85
Australia,Product C,1235.7
Europe,Product B,449.46
Europe,Product C,526.68
Africa,Product B,525.58
Africa,Product A,675.9
Africa,Product A,331.92
Asia,Product B,905.62
Asia,Product B,746.19
Africa,Product A,598.5
Asia,Product B,874.7
North America,Product A,823.05
Europe,Product C,788.23
Africa,Product A,455.22
Africa,Product A,551.79
Asia,Product C,724.92
Australia,Product B,930.56
Asia,Product C,1197.88
Australia,Product A,772.74
South America,Product B,602.73
Africa,Product A,512.34
Europe,Product B,735.39
Australia,Product A,1179.96
Europe,Product C,973.2
Africa,Product A,534.72
Europe,Product A,308.04
Asia,Product B,762.93
South America,Product A,615.48
Australia,Product B,907.9
Asia,Product C,993.07
Asia,Product B,717.65
Asia,Product B,1034.86
South America,Product B,503.81
Asia,Product C,953.45
Africa,Product B,618.25
North America,Product B,1086.63
Europe,Product A,745.34
Australia,Product A,936.48
North America,Product B,867.17
Africa,Product A,483.19
North America,Product B,1155.05
Asia,Product C,669.12
North America,Product A,1167.95
South America,Product A,639.89
Asia,Product C,1018.99
Africa,Product A,584.52
North America,Product B,985.57
North America,Product B,573.15
Asia,Product C,603.72
North America,Product B,586.12
Australia,Product A,752.49
Africa,Product A,504.8
Asia,Product C,692.22
Australia,Product A,922.13
Europe,Product C,700.44
Asia,Product C,831.89
North America,Product C,1389.19
South America,Product A,547.2
Australia,Product B,1110.5
Europe,Product B,757.89
South America,Product A,712.65
South America,Product A,515.87
Africa,Product A,447.62
Europe,Product B,425.79
Europe,Product B,578.17
Australia,Product C,903.21
Africa,Product A,440.6
Africa,Product B,351.25
North America,Product C,1064.3
Asia,Product B,924.67
Europe,Product B,716.7
Asia,Product C,747.13
South America,Product B,378.63
South America,Product A,542.06
Australia,Product B,668.61
Asia,Product C,776.36
Asia,Product B,904.55
South America,Product A,508.7
South America,Product B,451.28
Europe,Product B,404.31
North America,Product A,1048.54
South America,Product A,498.7
Europe,Product A,811.84
South America,Product A,471.14
North America,Product B,1339.13
North America,Product A,1011.45
Africa,Product A,623.44
South America,Product A,529.06
Africa,Product B,524.02
Australia,Product C,1008.62
South America,Product B,455.92
South America,Product B,431.41
Africa,Product A,541.86
Asia,Product C,656.64
North America,Product A,857.21
Africa,Product A,529.01
Australia,Product B,1195.79
Australia,Product A,1157.91
Asia,Product C,780.02
Australia,Product A,1164.24
Australia,Product A,1080.66
Africa,Product A,550.45
Australia,Product A,938.21
Europe,Product A,871.55
Europe,Product C,528.78
Europe,Product A,806.52
South America,Product A,476.13
Europe,Product A,578
Australia,Product A,963.86
North America,Product A,952.02
Australia,Product B,920.24
North America,Product A,970.09
North America,Product B,708.6
South America,Product A,491.02
South America,Product A,454.35
North America,Product B,1349.56
South America,Product A,528.61
Africa,Product B,394.88
Australia,Product A,724.82
Europe,Product C,764.07
Africa,Product B,435.23
Africa,Product B,457.06
Asia,Product C,857.53
Asia,Product C,759.39
Europe,Product A,1001.23
Asia,Product B,546.73
Asia,Product B,845.6
Europe,Product C,522.27
North America,Product A,797.69
Asia,Product C,956.51
North America,Product A,1364.15
Europe,Product C,640.89
Africa,Product B,575.52
North America,Product B,1157.91
South America,Product A,323.94
Africa,Product A,599.84
Australia,Product B,1281.24
Africa,Product A,536.77
Africa,Product A,433.07
Europe,Product A,706.08
Africa,Product B,495.66
Australia,Product B,1116.26
South America,Product B,563.9
Asia,Product C,717.77
North America,Product C,957.68
Asia,Product C,721
South America,Product A,473.69
Africa,Product B,442.1
Europe,Product C,734.3
South America,Product B,434.43
South America,Product A,523.02
Australia,Product A,877.32
North America,Product B,1061.47
Africa,Product B,533.08
Australia,Product B,1022.22
Australia,Product A,762.13
Asia,Product C,946.92
Australia,Product B,1075.74
South America,Product A,533.23
Australia,Product A,1030.4
South America,Product A,735.45
Africa,Product A,492.31
Europe,Product A,515.17
Asia,Product C,670.38
South America,Product A,554.89
Africa,Product A,378.73
Australia,Product B,727.92
South America,Product A,567.35
Africa,Product B,462.3
Australia,Product B,1246.52
North America,Product B,1037.87
Europe,Product B,281.45
South America,Product A,479.32
South America,Product A,418.94
South America,Product A,477.64
North America,Product B,908.45
North America,Product B,814.59
Africa,Product A,403.25
Europe,Product B,704.16
Asia,Product B,1001.51
Asia,Product B,377.59
Asia,Product C,1037.65
South America,Product A,521.35
South America,Product A,526.46
Asia,Product C,615.11
Asia,Product C,470.08
Africa,Product A,457.12
Africa,Product B,515.36
South America,Product A,570.94
North America,Product B,1263.77
Australia,Product A,1226.82
South America,Product A,227.58
Europe,Product A,354.28
Australia,Product A,1208.09
Africa,Product A,514.33
South America,Product B,396.38
North America,Product A,1209.91
Europe,Product A,447.61
Africa,Product A,579.86
Africa,Product B,439.83
Asia,Product B,614.14
Australia,Product A,679.39
Europe,Product A,781.31
North America,Product A,942.5
Asia,Product C,783.3
North America,Product B,1069.38
North America,Product B,750.04
South America,Product A,505
Australia,Product B,911.3
Africa,Product B,485.52
South America,Product A,504.46
Asia,Product C,725.09
Europe,Product A,686.21
Africa,Product B,486.19
Asia,Product C,826.05
Europe,Product B,640.11
Asia,Product B,884.9
Africa,Product A,355.55
Africa,Product A,406.92
Africa,Product A,404.07
South America,Product B,429.99
North America,Product A,776.69
North America,Product A,1068.55
North America,Product B,1291.75
Europe,Product B,737.72
Europe,Product A,853.4
Asia,Product B,1311.79
North America,Product A,819.04
Africa,Product A,498.76
Europe,Product A,603.72
North America,Product A,1093.94
Africa,Product A,541.31
North America,Product B,858.27
Asia,Product B,808.31
Africa,Product B,409.95
Asia,Product C,795.88
Asia,Product C,936.15
South America,Product A,592.42
South America,Product A,478.69
North America,Product B,1266.75
Europe,Product C,386.49
Australia,Product B,1084.11
Australia,Product B,975.45
Asia,Product B,1072.25
Africa,Product A,393.87
Europe,Product C,721.29
Australia,Product A,1376.71
North America,Product B,770.67
Australia,Product B,1127.03
South America,Product A,407.53
South America,Product B,457.51
Asia,Product C,706.24
Asia,Product C,797.13
Asia,Product C,1002.26
South America,Product A,525.14
Africa,Product C,561.18
South America,Product A,493.59
Asia,Product B,805.71
Australia,Product A,1062.92
Australia,Product B,1382.04
Africa,Product A,691.31
Australia,Product C,889.46
Africa,Product A,498.88
North America,Product B,887.92
Africa,Product A,496.78
South America,Product C,445.04
North America,Product B,936.87
Europe,Product A,482.36
South America,Product B,652.64
South America,Product B,507.33
North America,Product A,1197.84
Europe,Product B,747.78
Asia,Product B,888.6
Africa,Product A,530.77
Asia,Product C,971.78
South America,Product A,467.91
North America,Product B,1219.93
South America,Product A,519.61
Africa,Product A,491.57
Europe,Product A,854.63
North America,Product C,1050.24
Asia,Product C,429.39
Australia,Product B,924.16
Asia,Product C,753.25
Asia,Product C,601.18
Africa,Product B,499.79
Europe,Product B,625.25
South America,Product A,616.03
North America,Product B,1037.61
Africa,Product A,499.74
Europe,Product B,855.47
Europe,Product A,596.85
Africa,Product A,543.32
Asia,Product B,552.99
Africa,Product A,306.76
Europe,Product A,638.49
Asia,Product B,774.53
South America,Product C,678.86
South America,Product A,625.31
Australia,Product B,945.43
Australia,Product B,959.13
Asia,Product C,711.26
Europe,Product C,531.75
Asia,Product C,882.28
Australia,Product A,743.57
Africa,Product B,477.77
Asia,Product C,1376.78
South America,Product A,526.01
South America,Product A,674.04
Europe,Product B,544.91
Europe,Product B,333.21
Australia,Product B,926.19
Africa,Product A,381.82
North America,Product B,1001.37
North America,Product B,1262.63
North America,Product A,727
Asia,Product B,629.1
Africa,Product A,357.22
South America,Product B,416.97
Europe,Product A,536.82
North America,Product B,991.45
Europe,Product B,951.53
Asia,Product C,834.24
Asia,Product C,753.3
South America,Product A,531.95
Asia,Product B,670.61
Australia,Product B,776.47
Europe,Product B,933.99
Europe,Product A,539.43
